,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
16785,Granulomatosis with Polyangiitis,CHEMBL1456,3,Granulomatosis with Polyangiitis,D014890
16786,lupus nephritis,CHEMBL1456,3,Lupus Nephritis,D008181
16787,non-Hodgkins lymphoma,CHEMBL1456,3,"Lymphoma, Non-Hodgkin",D008228
16788,severe aplastic anemia,CHEMBL1456,2,"Anemia, Aplastic",D000741
16789,autoimmune thrombocytopenic purpura,CHEMBL1456,3,"Purpura, Thrombocytopenic, Idiopathic",D016553
16790,Cauda equina syndrome,CHEMBL1456,3,Polyradiculopathy,D011128
16791,B-Cell Prolymphocytic Leukemia,CHEMBL1456,2,"Leukemia, Prolymphocytic, B-Cell",D054403
16792,Juvenile Myelomonocytic Leukemia,CHEMBL1456,2,"Leukemia, Myelomonocytic, Juvenile",D054429
16793,T-Cell Prolymphocytic Leukemia,CHEMBL1456,2,"Leukemia, Prolymphocytic, T-Cell",D015461
16794,epidermolysis bullosa,CHEMBL1456,2,Epidermolysis Bullosa,D004820
16795,microscopic polyangiitis,CHEMBL1456,3,Microscopic Polyangiitis,D055953
16796,Sezary's disease,CHEMBL1456,2,Sezary Syndrome,D012751
16797,Henoch-Schoenlein purpura,CHEMBL1456,2,"Purpura, Schoenlein-Henoch",D011695
16798,mycosis fungoides,CHEMBL1456,2,Mycosis Fungoides,D009182
16799,"Hepatitis, Alcoholic",CHEMBL1456,2,"Hepatitis, Alcoholic",D006519
16800,Takayasu arteritis,CHEMBL1456,3,Takayasu Arteritis,D013625
16801,Abnormality of blood and blood-forming tissues,CHEMBL1456,2,Hematologic Diseases,D006402
16802,Aplastic anemia,CHEMBL1456,2,"Anemia, Aplastic",D000741
16803,Sickle cell anemia,CHEMBL1456,2,"Anemia, Sickle Cell",D000755
16804,Familial lipoprotein lipase deficiency,CHEMBL1456,2,Hyperlipoproteinemia Type I,D008072
16805,22q11.2 deletion syndrome,CHEMBL1456,1,DiGeorge Syndrome,D004062
16806,Fanconi anemia,CHEMBL1456,2,Fanconi Anemia,D005199
16807,Beta-thalassemia,CHEMBL1456,1,beta-Thalassemia,D017086
16833,leukemia,CHEMBL43,3,Leukemia,D007938
16834,eye disease,CHEMBL1200604,3,Eye Diseases,D005128
16846,Hodgkins lymphoma,CHEMBL6966,1,Hodgkin Disease,D006689
16847,Crohn's disease,CHEMBL6966,1,Crohn Disease,D003424
16848,type II diabetes mellitus,CHEMBL6966,1,"Diabetes Mellitus, Type 2",D003924
16849,heart failure,CHEMBL6966,3,Heart Failure,D006333
16850,drug dependence,CHEMBL6966,1,Substance-Related Disorders,D019966
16851,atopic eczema,CHEMBL22,2,"Dermatitis, Atopic",D003876
16852,neoplasm,CHEMBL22,1,Neoplasms,D009369
16853,idiopathic pulmonary fibrosis,CHEMBL22,3,Idiopathic Pulmonary Fibrosis,D054990
16854,malaria,CHEMBL22,3,Malaria,D008288
16855,type I diabetes mellitus,CHEMBL22,2,"Diabetes Mellitus, Type 1",D003922
16856,abscess,CHEMBL22,3,Abscess,D000038
16857,kidney disease,CHEMBL22,1,Kidney Diseases,D007674
16858,osteomyelitis,CHEMBL22,0,Osteomyelitis,D010019
16859,urinary tract infection,CHEMBL22,4,Urinary Tract Infections,D014552
16860,pneumonia,CHEMBL22,3,Pneumonia,D011014
16861,anemia (phenotype),CHEMBL22,1,Anemia,D000740
16862,Staphylococcus aureus infection,CHEMBL22,3,Staphylococcal Infections,D013203
16863,ocular toxoplasmosis,CHEMBL22,3,"Toxoplasmosis, Ocular",D014126
16864,pneumocystosis,CHEMBL22,4,"Pneumonia, Pneumocystis",D011020
16865,epidermolysis bullosa,CHEMBL22,2,Epidermolysis Bullosa,D004820
16866,pyelonephritis,CHEMBL22,3,Pyelonephritis,D011704
16867,"Lymphoma, AIDS-Related",CHEMBL22,2,"Lymphoma, AIDS-Related",D016483
16868,Tuberculosis,CHEMBL22,3,Tuberculosis,D014376
16869,Cystic fibrosis,CHEMBL22,2,Cystic Fibrosis,D003550
16872,HIV infection,CHEMBL853,3,HIV Infections,D015658
16873,allergy,CHEMBL849,3,Hypersensitivity,D006967
16874,mucositis,CHEMBL849,3,Mucositis,D052016
16875,schizophrenia,CHEMBL646,3,Schizophrenia,D012559
16876,drug dependence,CHEMBL646,2,Substance-Related Disorders,D019966
16877,anxiety,CHEMBL646,3,Anxiety,D001007
16878,Dementia,CHEMBL646,3,Dementia,D003704
16880,neuroblastoma,CHEMBL1324,1,Neuroblastoma,D009447
16881,schizophrenia,CHEMBL1324,2,Schizophrenia,D012559
16882,cocaine dependence,CHEMBL1324,1,Cocaine-Related Disorders,D019970
16883,obsessive-compulsive disorder,CHEMBL1324,2,Obsessive-Compulsive Disorder,D009771
16886,chronic lymphocytic leukemia,CHEMBL513,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
16887,neoplasm of mature B-cells,CHEMBL513,3,"Lymphoma, Follicular",D008224
16888,unspecified peripheral T-cell lymphoma,CHEMBL513,2,"Lymphoma, T-Cell, Peripheral",D016411
16889,breast carcinoma,CHEMBL513,3,Breast Neoplasms,D001943
16890,cutaneous melanoma,CHEMBL513,2,Melanoma,D008545
16891,diffuse large B-cell lymphoma,CHEMBL513,3,"Lymphoma, Large B-Cell, Diffuse",D016403
16892,leukemia,CHEMBL513,3,Leukemia,D007938
16893,lymphoma,CHEMBL513,3,Lymphoma,D008223
16894,sarcoma,CHEMBL513,2,Sarcoma,D012509
16895,melanoma,CHEMBL513,2,Melanoma,D008545
16896,anaplastic astrocytoma,CHEMBL513,4,Astrocytoma,D001254
16897,anaplastic oligodendroglioma,CHEMBL513,3,Oligodendroglioma,D009837
16898,Cutaneous T-cell lymphoma,CHEMBL513,1,"Lymphoma, T-Cell, Cutaneous",D016410
16899,relapsing-remitting multiple sclerosis,CHEMBL513,2,"Multiple Sclerosis, Relapsing-Remitting",D020529
16900,non-Hodgkins lymphoma,CHEMBL513,2,"Lymphoma, Non-Hodgkin",D008228
16901,plasma cell leukemia,CHEMBL513,1,"Leukemia, Plasma Cell",D007952
16902,gliosarcoma,CHEMBL513,2,Gliosarcoma,D018316
16903,Mantle cell lymphoma,CHEMBL513,3,"Lymphoma, Mantle-Cell",D020522
16904,colorectal carcinoma,CHEMBL513,2,Colorectal Neoplasms,D015179
16905,Abnormality of blood and blood-forming tissues,CHEMBL513,2,Hematologic Diseases,D006402
16981,acne,CHEMBL3184512,4,Acne Vulgaris,D000152
16982,rosacea,CHEMBL3184512,2,Rosacea,D012393
16983,Sepsis,CHEMBL3184512,4,Sepsis,D018805
16984,,CHEMBL3184512,4,Respiratory Tract Infections,D012141
16986,nicotine dependence,CHEMBL111,2,Tobacco Use Disorder,D014029
16987,pain,CHEMBL111,1,Pain,D010146
16988,smoking cessation,CHEMBL111,3,Smoking Cessation,D016540
16989,alcohol drinking,CHEMBL111,2,Alcohol Drinking,D000428
16990,prediabetes syndrome,CHEMBL111,3,Prediabetic State,D011236
16991,Disorder of lipid metabolism,CHEMBL111,3,Lipid Metabolism Disorders,D052439
16998,alcohol dependence,CHEMBL89598,2,Alcoholism,D000437
16999,benign prostatic hyperplasia,CHEMBL1520,2,Prostatic Hyperplasia,D011470
17000,overactive bladder,CHEMBL1520,2,"Urinary Bladder, Overactive",D053201
17001,schizophrenia,CHEMBL479,3,Schizophrenia,D012559
17002,anxiety,CHEMBL479,3,Anxiety,D001007
17003,Dementia,CHEMBL479,3,Dementia,D003704
17009,chronic lymphocytic leukemia,CHEMBL8,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
17010,acute myeloid leukemia,CHEMBL8,1,"Leukemia, Myeloid, Acute",D015470
17011,lymphoma,CHEMBL8,1,Lymphoma,D008223
17012,neoplasm,CHEMBL8,1,Neoplasms,D009369
17013,Pseudomonas infection,CHEMBL8,1,Pseudomonas Infections,D011552
17014,osteomyelitis,CHEMBL8,0,Osteomyelitis,D010019
17015,pneumonia,CHEMBL8,3,Pneumonia,D011014
17016,lung disease,CHEMBL8,1,Lung Diseases,D008171
17017,hearing loss,CHEMBL8,1,Hearing Loss,D034381
17018,rhinoscleroma,CHEMBL8,0,Rhinoscleroma,D012226
17019,alcoholic liver cirrhosis,CHEMBL8,0,"Liver Cirrhosis, Alcoholic",D008104
17020,Escherichia coli Infections,CHEMBL8,1,Escherichia coli Infections,D004927
17021,"Hepatitis, Alcoholic",CHEMBL8,0,"Hepatitis, Alcoholic",D006519
17022,Periapical Periodontitis,CHEMBL8,1,Periapical Periodontitis,D010485
17023,diabetic foot,CHEMBL8,1,Diabetic Foot,D017719
17024,Cystic fibrosis,CHEMBL8,2,Cystic Fibrosis,D003550
17025,osteomyelitis,CHEMBL186,0,Osteomyelitis,D010019
17028,pancreatic carcinoma,CHEMBL121626,1,Pancreatic Neoplasms,D010190
17029,chronic lymphocytic leukemia,CHEMBL109,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
17030,myelodysplastic syndrome,CHEMBL109,2,Myelodysplastic Syndromes,D009190
17031,acute myeloid leukemia,CHEMBL109,2,"Leukemia, Myeloid, Acute",D015470
17032,Burkitts lymphoma,CHEMBL109,1,Burkitt Lymphoma,D002051
17033,chronic myelogenous leukemia,CHEMBL109,2,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464
17034,diffuse large B-cell lymphoma,CHEMBL109,1,"Lymphoma, Large B-Cell, Diffuse",D016403
17035,glioblastoma multiforme,CHEMBL109,2,Glioblastoma,D005909
17036,leukemia,CHEMBL109,2,Leukemia,D007938
17037,lymphoma,CHEMBL109,2,Lymphoma,D008223
17038,neoplasm,CHEMBL109,1,Neoplasms,D009369
17039,schizophrenia,CHEMBL109,3,Schizophrenia,D012559
17040,small cell lung carcinoma,CHEMBL109,2,Small Cell Lung Carcinoma,D055752
17041,ovarian carcinoma,CHEMBL109,1,Ovarian Neoplasms,D010051
17042,anaplastic astrocytoma,CHEMBL109,1,Astrocytoma,D001254
17043,medulloblastoma,CHEMBL109,1,Medulloblastoma,D008527
17044,nasopharyngeal neoplasm,CHEMBL109,1,Nasopharyngeal Neoplasms,D009303
17045,anxiety,CHEMBL109,3,Anxiety,D001007
17046,head and neck malignant neoplasia,CHEMBL109,2,Head and Neck Neoplasms,D006258
17047,tropical spastic paraparesis,CHEMBL109,3,"Paraparesis, Tropical Spastic",D015493
17048,Mantle cell lymphoma,CHEMBL109,1,"Lymphoma, Mantle-Cell",D020522
17049,colorectal carcinoma,CHEMBL109,1,Colorectal Neoplasms,D015179
17050,soft tissue sarcoma,CHEMBL109,1,Sarcoma,D012509
17051,Dementia,CHEMBL109,3,Dementia,D003704
17052,prostate adenocarcinoma,CHEMBL599,3,Prostatic Neoplasms,D011471
17053,juvenile idiopathic arthritis,CHEMBL599,3,"Arthritis, Juvenile",D001171
17054,systemic lupus erythematosus,CHEMBL599,1,"Lupus Erythematosus, Systemic",D008180
17055,bipolar disorder,CHEMBL549,2,Bipolar Disorder,D001714
17056,irritable bowel syndrome,CHEMBL549,2,Irritable Bowel Syndrome,D043183
17057,obsessive-compulsive disorder,CHEMBL549,3,Obsessive-Compulsive Disorder,D009771
17058,panic disorder,CHEMBL549,2,Panic Disorder,D016584
17059,anxiety,CHEMBL549,3,Anxiety,D001007
17060,opioid dependence,CHEMBL549,2,Opioid-Related Disorders,D009293
17061,Dementia,CHEMBL549,3,Dementia,D003704
17062,schizophrenia,CHEMBL908,3,Schizophrenia,D012559
17063,anxiety,CHEMBL908,3,Anxiety,D001007
17064,Dementia,CHEMBL908,3,Dementia,D003704
17072,cancer,CHEMBL76,1,Neoplasms,D009369
17073,rheumatoid arthritis,CHEMBL76,3,"Arthritis, Rheumatoid",D001172
17074,AIDS,CHEMBL76,2,Acquired Immunodeficiency Syndrome,D000163
17075,multiple myeloma,CHEMBL76,2,Multiple Myeloma,D009101
17076,pancreatic carcinoma,CHEMBL76,1,Pancreatic Neoplasms,D010190
17077,systemic lupus erythematosus,CHEMBL76,2,"Lupus Erythematosus, Systemic",D008180
17078,pregnancy,CHEMBL76,3,Pregnancy,D011247
17079,Dengue Hemorrhagic Fever,CHEMBL76,1,Severe Dengue,D019595
17080,sarcoma,CHEMBL408,2,Sarcoma,D012509
17081,osteomyelitis,CHEMBL1095930,0,Osteomyelitis,D010019
17082,sinusitis,CHEMBL1095930,2,Sinusitis,D012852
17086,rectum cancer,CHEMBL1129,1,Rectal Neoplasms,D012004
17087,obesity,CHEMBL807,1,Obesity,D009765
17088,alcohol dependence,CHEMBL807,2,Alcoholism,D000437
17089,open-angle glaucoma,CHEMBL807,3,"Glaucoma, Open-Angle",D005902
17090,heroin dependence,CHEMBL807,2,Heroin Dependence,D006556
17091,schizoaffective disorder,CHEMBL807,2,Psychotic Disorders,D011618
17092,Dementia,CHEMBL807,4,Dementia,D003704
17095,diabetes mellitus,CHEMBL985,3,Diabetes Mellitus,D003920
17096,pain,CHEMBL985,2,Pain,D010146
17097,head and neck malignant neoplasia,CHEMBL985,2,Head and Neck Neoplasms,D006258
17098,Argininosuccinic aciduria,CHEMBL985,1,Argininosuccinic Aciduria,D056807
17099,melanoma,CHEMBL1201148,2,Melanoma,D008545
17102,pneumonia,CHEMBL491571,3,Pneumonia,D011014
17103,ventilator-associated pneumonia,CHEMBL491571,3,"Pneumonia, Ventilator-Associated",D053717
17104,cataract,CHEMBL1747,3,Cataract,D002386
17105,osteomyelitis,CHEMBL1747,0,Osteomyelitis,D010019
17106,pneumonia,CHEMBL1747,3,Pneumonia,D011014
17107,bacterial pneumonia,CHEMBL1747,2,"Pneumonia, Bacterial",D018410
17116,osteomyelitis,CHEMBL4,0,Osteomyelitis,D010019
17117,urinary tract infection,CHEMBL4,3,Urinary Tract Infections,D014552
17118,bacterial conjunctivitis,CHEMBL4,3,"Conjunctivitis, Bacterial",D003234
17119,Pelvic Inflammatory Disease,CHEMBL4,3,Pelvic Inflammatory Disease,D000292
17120,atrial flutter,CHEMBL184412,3,Atrial Flutter,D001282
17121,rotator cuff tear,CHEMBL1200436,2,Rotator Cuff Injuries,D000070636
17122,Turner syndrome,CHEMBL1200436,3,Turner Syndrome,D014424
17127,psoriasis,CHEMBL1023,2,Psoriasis,D011565
17128,multiple myeloma,CHEMBL1023,1,Multiple Myeloma,D009101
17129,anaplastic large cell lymphoma,CHEMBL1023,3,"Lymphoma, Large-Cell, Anaplastic",D017728
17130,schizoaffective disorder,CHEMBL1023,3,Psychotic Disorders,D011618
17131,parapsoriasis,CHEMBL1023,2,Parapsoriasis,D010267
17132,Sezary's disease,CHEMBL1023,2,Sezary Syndrome,D012751
17133,mycosis fungoides,CHEMBL1023,3,Mycosis Fungoides,D009182
17134,pituitary-dependent Cushing's disease,CHEMBL1023,1,Pituitary ACTH Hypersecretion,D047748
17135,lymphoma,CHEMBL1120,2,Lymphoma,D008223
17148,schizophrenia,CHEMBL452,3,Schizophrenia,D012559
17149,pain,CHEMBL452,3,Pain,D010146
17150,panic disorder,CHEMBL452,2,Panic Disorder,D016584
17151,anxiety,CHEMBL452,3,Anxiety,D001007
17152,REM sleep behavior disorder,CHEMBL452,2,REM Sleep Behavior Disorder,D020187
17153,burning mouth syndrome,CHEMBL452,0,Burning Mouth Syndrome,D002054
17154,epilepsia partialis continua,CHEMBL452,3,Epilepsia Partialis Continua,D017036
17155,Dementia,CHEMBL452,3,Dementia,D003704
17156,myocardial infarction,CHEMBL565,3,Myocardial Infarction,D009203
17157,Myocardial Ischemia,CHEMBL565,3,Myocardial Ischemia,D017202
17158,acute lung injury,CHEMBL926,2,Acute Lung Injury,D055371
17159,schizophrenia,CHEMBL70418,3,Schizophrenia,D012559
17160,epilepsia partialis continua,CHEMBL70418,3,Epilepsia Partialis Continua,D017036
17161,Dementia,CHEMBL70418,3,Dementia,D003704
17162,Hodgkins lymphoma,CHEMBL476,4,Hodgkin Disease,D006689
17163,lymphoma,CHEMBL476,3,Lymphoma,D008223
17164,neoplasm,CHEMBL476,4,Neoplasms,D009369
17165,neuroblastoma,CHEMBL476,3,Neuroblastoma,D009447
17166,soft tissue sarcoma,CHEMBL476,3,Sarcoma,D012509
17167,myelodysplastic syndrome,CHEMBL846,2,Myelodysplastic Syndromes,D009190
17168,Crohn's disease,CHEMBL846,1,Crohn Disease,D003424
17169,neoplasm,CHEMBL846,1,Neoplasms,D009369
17170,prostate adenocarcinoma,CHEMBL846,2,Prostatic Neoplasms,D011471
17171,fibroma,CHEMBL846,3,Fibroma,D005350
17172,metastatic melanoma,CHEMBL846,1,Melanoma,D008545
17173,pancreatic carcinoma,CHEMBL846,2,Pancreatic Neoplasms,D010190
17174,postmenopausal osteoporosis,CHEMBL846,1,"Osteoporosis, Postmenopausal",D015663
17175,mouth neoplasm,CHEMBL846,1,Mouth Neoplasms,D009062
17176,attention deficit hyperactivity disorder,CHEMBL846,1,Attention Deficit Disorder with Hyperactivity,D001289
17177,cholangiocarcinoma,CHEMBL846,2,Cholangiocarcinoma,D018281
17178,Sepsis,CHEMBL846,2,Sepsis,D018805
17179,Osteopetrosis,CHEMBL846,3,Osteopetrosis,D010022
17181,restless legs syndrome,CHEMBL656,3,Restless Legs Syndrome,D012148
17182,neuropathic pain,CHEMBL656,2,Neuralgia,D009437
17183,sinusitis,CHEMBL656,2,Sinusitis,D012852
17184,joint disease,CHEMBL656,3,Joint Diseases,D007592
17185,colorectal carcinoma,CHEMBL656,1,Colorectal Neoplasms,D015179
17279,schizophrenia,CHEMBL28218,3,Schizophrenia,D012559
17280,anxiety,CHEMBL28218,3,Anxiety,D001007
17281,Dementia,CHEMBL28218,3,Dementia,D003704
17283,trypanosomiasis,CHEMBL290960,4,Trypanosomiasis,D014352
17284,neuroblastoma,CHEMBL290960,1,Neuroblastoma,D009447
17285,human african trypanosomiasis,CHEMBL290960,2,"Trypanosomiasis, African",D014353
17286,oral mucositis,CHEMBL1096,2,Stomatitis,D013280
17287,osteomyelitis,CHEMBL826,0,Osteomyelitis,D010019
17292,fetal growth restriction,CHEMBL930,3,Fetal Growth Retardation,D005317
17293,lymphoma,CHEMBL930,2,Lymphoma,D008223
17294,neoplasm,CHEMBL930,3,Neoplasms,D009369
17295,periodontitis,CHEMBL930,2,Periodontitis,D010518
17296,type II diabetes mellitus,CHEMBL930,1,"Diabetes Mellitus, Type 2",D003924
17297,multiple myeloma,CHEMBL930,2,Multiple Myeloma,D009101
17298,heart failure,CHEMBL930,2,Heart Failure,D006333
17299,premature birth,CHEMBL930,3,Premature Birth,D047928
17300,colorectal neoplasm,CHEMBL930,3,Colorectal Neoplasms,D015179
17301,oral mucositis,CHEMBL930,3,Stomatitis,D013280
17302,Thalassemia,CHEMBL930,2,Thalassemia,D013789
17303,Sepsis,CHEMBL930,3,Sepsis,D018805
17304,Propionic acidemia,CHEMBL930,1,Propionic Acidemia,D056693
17305,osteomyelitis,CHEMBL419,0,Osteomyelitis,D010019
17307,Asperger syndrome,CHEMBL1112,2,Asperger Syndrome,D020817
17308,anxiety,CHEMBL1112,3,Anxiety,D001007
17309,schizoaffective disorder,CHEMBL1112,4,Psychotic Disorders,D011618
17310,Dementia,CHEMBL1112,3,Dementia,D003704
17311,Fragile X syndrome,CHEMBL1112,2,Fragile X Syndrome,D005600
17312,schizophrenia,CHEMBL1101,3,Schizophrenia,D012559
17313,anxiety,CHEMBL1101,3,Anxiety,D001007
17314,Dementia,CHEMBL1101,3,Dementia,D003704
17316,cocaine dependence,CHEMBL1428,2,Cocaine-Related Disorders,D019970
17328,multiple sclerosis,CHEMBL744,2,Multiple Sclerosis,D009103
17329,multiple system atrophy,CHEMBL744,3,Multiple System Atrophy,D019578
17330,Spinal cord injury,CHEMBL744,2,Spinal Cord Injuries,D013119
17331,Huntington disease,CHEMBL744,3,Huntington Disease,D006816
17332,Progressive supranuclear palsy,CHEMBL744,3,"Supranuclear Palsy, Progressive",D013494
17333,Spinocerebellar ataxia type 2,CHEMBL744,3,Spinocerebellar Ataxias,D020754
17376,Argininosuccinic aciduria,CHEMBL734,1,Argininosuccinic Aciduria,D056807
17384,chronic kidney disease,CHEMBL193,2,"Renal Insufficiency, Chronic",D051436
17385,drug dependence,CHEMBL193,1,Substance-Related Disorders,D019966
17386,placenta praevia,CHEMBL193,3,Placenta Previa,D010923
17387,Raynaud disease,CHEMBL193,3,Raynaud Disease,D011928
17388,Myocardial Ischemia,CHEMBL193,3,Myocardial Ischemia,D017202
17389,Proteinuria,CHEMBL193,2,Proteinuria,D011507
17390,Congenital adrenal hyperplasia,CHEMBL193,1,"Adrenal Hyperplasia, Congenital",D000312
17392,colorectal carcinoma,CHEMBL31634,1,Colorectal Neoplasms,D015179
17393,hypertension,CHEMBL642,2,Hypertension,D006973
17394,heart disease,CHEMBL642,2,Heart Diseases,D006331
17395,migraine disorder,CHEMBL831,2,Migraine Disorders,D008881
17396,anxiety,CHEMBL831,3,Anxiety,D001007
17397,atrial fibrillation,CHEMBL600,3,Atrial Fibrillation,D001281
17398,cutaneous melanoma,CHEMBL600,2,Melanoma,D008545
17399,diffuse scleroderma,CHEMBL600,2,"Scleroderma, Diffuse",D045743
17400,infertility,CHEMBL600,3,Infertility,D007246
17401,bacteriemia,CHEMBL600,2,Bacteremia,D016470
17402,autism spectrum disorder,CHEMBL600,2,"Child Development Disorders, Pervasive",D002659
17403,Asperger syndrome,CHEMBL600,2,Asperger Syndrome,D020817
17404,multiple sclerosis,CHEMBL600,2,Multiple Sclerosis,D009103
17405,myopathy,CHEMBL600,2,Muscular Diseases,D009135
17406,alcohol drinking,CHEMBL600,2,Alcohol Drinking,D000428
17407,gambling behaviour,CHEMBL600,1,Gambling,D005715
17408,bulimia nervosa,CHEMBL600,3,Bulimia Nervosa,D052018
17409,chronic bronchitis,CHEMBL600,2,"Bronchitis, Chronic",D029481
17410,acute respiratory distress syndrome,CHEMBL600,0,Respiratory Distress Syndrome,D012128
17411,drug-induced hepatitis,CHEMBL600,4,Chemical and Drug Induced Liver Injury,D056486
17412,noise-induced hearing loss,CHEMBL600,1,"Hearing Loss, Noise-Induced",D006317
17413,neuromuscular disease,CHEMBL600,1,Neuromuscular Diseases,D009468
17414,Thrombocytopenia,CHEMBL600,2,Thrombocytopenia,D013921
17415,Cognitive impairment,CHEMBL600,2,Cognitive Dysfunction,D060825
17416,Adrenomyeloneuropathy,CHEMBL600,2,Adrenoleukodystrophy,D000326
17417,Niemann-Pick disease type C,CHEMBL600,1,"Niemann-Pick Disease, Type C",D052556
17418,Gaucher disease type 1,CHEMBL600,2,Gaucher Disease,D005776
17419,Retinitis pigmentosa,CHEMBL600,1,Retinitis Pigmentosa,D012174
17420,Hypokalemic periodic paralysis,CHEMBL17,3,Hypokalemic Periodic Paralysis,D020514
17421,Hyperkalemic periodic paralysis,CHEMBL17,3,"Paralysis, Hyperkalemic Periodic",D020513
17422,epilepsy,CHEMBL661,2,Epilepsy,D004827
17423,schizophrenia,CHEMBL661,3,Schizophrenia,D012559
17424,type I diabetes mellitus,CHEMBL661,1,"Diabetes Mellitus, Type 1",D003922
17425,migraine disorder,CHEMBL661,1,Migraine Disorders,D008881
17426,drug dependence,CHEMBL661,1,Substance-Related Disorders,D019966
17427,social anxiety disorder,CHEMBL661,1,"Phobia, Social",D000072861
17428,Dementia,CHEMBL661,3,Dementia,D003704
17429,uveitis,CHEMBL1201749,3,Uveitis,D014605
17441,Tumor Lysis Syndrome,CHEMBL1164729,3,Tumor Lysis Syndrome,D015275
17442,bacteriemia,CHEMBL893,3,Bacteremia,D016470
17443,osteomyelitis,CHEMBL893,0,Osteomyelitis,D010019
17446,prostate adenocarcinoma,CHEMBL870,3,Prostatic Neoplasms,D011471
17447,HIV infection,CHEMBL870,2,HIV Infections,D015658
17448,osteitis deformans,CHEMBL870,3,Osteitis Deformans,D010001
17449,Osteopenia,CHEMBL870,3,"Bone Diseases, Metabolic",D001851
17450,Polyostotic fibrous dysplasia,CHEMBL870,2,"Fibrous Dysplasia, Polyostotic",D005359
17456,prostate adenocarcinoma,CHEMBL154,2,Prostatic Neoplasms,D011471
17457,migraine disorder,CHEMBL154,3,Migraine Disorders,D008881
17458,multiple sclerosis,CHEMBL154,3,Multiple Sclerosis,D009103
17459,neuropathic pain,CHEMBL154,2,Neuralgia,D009437
17460,Headache,CHEMBL154,3,Headache,D006261
17461,rhinoscleroma,CHEMBL430,0,Rhinoscleroma,D012226
17462,Helicobacter pylori infectious disease,CHEMBL430,3,Helicobacter Infections,D016481
17468,Hodgkins lymphoma,CHEMBL1489,1,Hodgkin Disease,D006689
17469,cancer,CHEMBL1489,4,Neoplasms,D009369
17470,chronic myelogenous leukemia,CHEMBL1489,1,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464
17471,cutaneous melanoma,CHEMBL1489,2,Melanoma,D008545
17472,diffuse large B-cell lymphoma,CHEMBL1489,3,"Lymphoma, Large B-Cell, Diffuse",D016403
17473,liposarcoma,CHEMBL1489,1,Liposarcoma,D008080
17474,lymphoma,CHEMBL1489,3,Lymphoma,D008223
17475,renal cell carcinoma,CHEMBL1489,1,"Carcinoma, Renal Cell",D002292
17476,squamous cell carcinoma,CHEMBL1489,1,"Carcinoma, Squamous Cell",D002294
17477,multiple myeloma,CHEMBL1489,2,Multiple Myeloma,D009101
17478,metastatic melanoma,CHEMBL1489,2,Melanoma,D008545
17479,brain neoplasm,CHEMBL1489,0,Brain Neoplasms,D001932
17480,non-Hodgkins lymphoma,CHEMBL1489,1,"Lymphoma, Non-Hodgkin",D008228
17481,head and neck malignant neoplasia,CHEMBL1489,1,Head and Neck Neoplasms,D006258
17482,male breast carcinoma,CHEMBL1489,2,"Breast Neoplasms, Male",D018567
17483,ependymoma,CHEMBL1489,1,Ependymoma,D004806
17484,acute erythroblastic leukemia,CHEMBL1489,2,"Leukemia, Erythroblastic, Acute",D004915
17485,colorectal carcinoma,CHEMBL1489,1,Colorectal Neoplasms,D015179
17486,Beta-thalassemia major,CHEMBL1489,2,beta-Thalassemia,D017086
17487,Beta-thalassemia,CHEMBL1489,2,beta-Thalassemia,D017086
17488,diabetes mellitus,CHEMBL1473,1,Diabetes Mellitus,D003920
17489,polyp,CHEMBL1473,2,Adenomatous Polyposis Coli,D011125
17490,bronchiolitis obliterans,CHEMBL1473,3,Bronchiolitis Obliterans,D001989
17491,croup,CHEMBL1473,3,Croup,D003440
17492,bronchogenic carcinoma,CHEMBL1473,2,"Carcinoma, Bronchogenic",D002283
17507,glioblastoma multiforme,CHEMBL1366,1,Glioblastoma,D005909
17508,small cell lung carcinoma,CHEMBL1366,1,Small Cell Lung Carcinoma,D055752
17509,squamous cell lung carcinoma,CHEMBL1366,1,"Carcinoma, Squamous Cell",D002294
17510,non-small cell lung carcinoma,CHEMBL1366,1,"Carcinoma, Non-Small-Cell Lung",D002289
17511,amebiasis,CHEMBL1366,1,Amebiasis,D000562
17512,head and neck squamous cell carcinoma,CHEMBL1730601,2,"Carcinoma, Squamous Cell",D002294
17513,hepatocellular carcinoma,CHEMBL1730601,2,"Carcinoma, Hepatocellular",D006528
17514,cancer,CHEMBL1730601,2,Neoplasms,D009369
17515,colorectal adenocarcinoma,CHEMBL1730601,3,Colorectal Neoplasms,D015179
17516,gastric adenocarcinoma,CHEMBL1730601,3,Stomach Neoplasms,D013274
17517,neoplasm,CHEMBL1730601,2,Neoplasms,D009369
17518,pancreatic ductal adenocarcinoma,CHEMBL1730601,2,"Carcinoma, Pancreatic Ductal",D021441
17519,pancreatic carcinoma,CHEMBL1730601,3,Pancreatic Neoplasms,D010190
17520,esophageal carcinoma,CHEMBL1730601,3,Esophageal Neoplasms,D004938
17521,non-small cell lung carcinoma,CHEMBL1730601,2,"Carcinoma, Non-Small-Cell Lung",D002289
