,chembl_id,synonyms,max_phase,atc_codes,level_4_atc,level_3_atc,level_2_atc,levle_1_atc,drug_type,passes_ro5,chirality,prodrug,oral,parenteral,topical,black_box,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,indication_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,inchi_key,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,pubchem_cid,withdrawn_chembl
5026,CHEMBL422,AMYLOZINE|NSC-17474|NSC-46061|RP-7623|STELAZINE|STELAZINE FTE|TRIFLUOPERAZINE|Trifluoperazine,4,N05AB06,N05AB - Phenothiazines with piperazine structure,N05A - ANTIPSYCHOTICS,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,True,False,True,Prescription Only,None,None,None,None,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,Small molecule,MOL,True,Antipsychotic; Sedative-Hypnotic,4.95,2,3.97,4.66,,7.99,407.51,4,3,0,0,28,NEUTRAL,407.51,407.1643,0,0,9.72,0.71,N,4,CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,ZEWQUBUPAILYHI-UHFFFAOYSA-N,ZEWQUBUPAILYHI-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5027,CHEMBL1200542,DEOXYCORTICOSTERONE ACETATE|DEOXYCORTONE|DESOXYCORTICOSTERONE ACETATE|DESOXYCORTONE|DESOXYCORTONE ACETATE|Doca|NSC-9567|Percorten,4,H02AA03,H02AA - Mineralocorticoids,"H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02 - CORTICOSTEROIDS FOR SYSTEMIC USE,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",7:Natural Product-derived,True,Single Stereoisomer,True,False,True,False,False,Discontinued,None,None,None,None,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Small molecule,MOL,True,Adrenocortical Steroid (salt-regulating),4.27,0,3.77,3.77,,,372.51,4,4,0,0,27,NEUTRAL,372.51,372.2301,0,0,60.44,0.69,N,3,CHEMBL1200542,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VPGRYOFKCNULNK-ACXQXYJUSA-N,VPGRYOFKCNULNK-ACXQXYJUSA-N,Safe,AGONIST,True,True,True,CHEMBL1994,missing,0
5028,CHEMBL504,DIMETHYL SULFOXIDE|DMSO|Domoso|Infiltrina|NSC-763|Rimso 50|Rimso-50|SQ 9453|SQ-9453|Syntexan,4,M02AX03 | G04BX13,M02AX - Other topical products for joint and muscular pain | G04BX - Other urologicals,M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN | G04B - UROLOGICALS,M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN | G04 - UROLOGICALS,M - MUSCULO-SKELETAL SYSTEM | G - GENITO URINARY SYSTEM AND SEX HORMONES,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,True,False,False,Prescription Only,None,None,None,None,C[S+](C)[O-],Small molecule,MOL,True,Anti-Inflammatory (topical),-0.01,0,-1.41,-1.41,,,78.14,1,1,0,0,4,,78.14,78.0139,0,0,17.07,0.40,Y,0,CHEMBL504,C[S+](C)[O-],IAZDPXIOMUYVGZ-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,Safe,,True,True,True,,missing,0
5029,CHEMBL83063,DU-21220|RITODRINE,4,G02CA01,"G02CA - Sympathomimetics, labour repressants",G02C - OTHER GYNECOLOGICALS,G02 - OTHER GYNECOLOGICALS,G - GENITO URINARY SYSTEM AND SEX HORMONES,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,True,False,False,Discontinued,None,None,None,None,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,Small molecule,MOL,True,,2.35,2,0.51,1.82,9.15,9.81,287.36,4,4,4,4,21,BASE,287.36,287.1521,0,0,72.72,0.66,N,6,CHEMBL83063,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,IOVGROKTTNBUGK-UHFFFAOYSA-N,IOVGROKTTNBUGK-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5031,CHEMBL778,DEXMEDETOMIDINE|Dexmedetomidine|MPV-1440|Precedex,4,N05CM18,N05CM - Other hypnotics and sedatives,N05C - HYPNOTICS AND SEDATIVES,N05 - PSYCHOLEPTICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Single Stereoisomer,False,False,True,False,False,Prescription Only,None,None,None,None,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,Small molecule,MOL,True,Tranquilizer,3.18,2,3.34,3.39,,6.54,200.28,1,2,1,1,15,NEUTRAL,200.28,200.1313,0,0,28.68,0.79,N,2,CHEMBL778,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,CUHVIMMYOGQXCV-NSHDSACASA-N,CUHVIMMYOGQXCV-NSHDSACASA-N,Safe,missing,missing,missing,missing,missing,missing,0
5038,CHEMBL625,E233|Equizole|MK-360|Mintezol|Omnizole|THIABENDAZOLE|TIABENDAZOLE|Tiabendazole,4,D01AC06 | P02CA02,D01AC - Imidazole and triazole derivatives | P02CA - Benzimidazole derivatives,D01A - ANTIFUNGALS FOR TOPICAL USE | P02C - ANTINEMATODAL AGENTS,D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE | P02 - ANTHELMINTICS,"D - DERMATOLOGICALS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,True,Achiral Molecule,False,True,False,False,False,Discontinued,None,None,None,None,c1ccc2[nH]c(-c3cscn3)nc2c1,Small molecule,MOL,True,Anthelmintic,2.69,3,2.33,2.33,10.28,4.08,201.25,3,3,1,1,14,NEUTRAL,201.25,201.0361,0,0,41.57,0.66,Y,1,CHEMBL625,c1ccc2[nH]c(-c3cscn3)nc2c1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,WJCNZQLZVWNLKY-UHFFFAOYSA-N,Safe,INHIBITOR+INHIBITOR,True+True,True+True,True+True,CHEMBL2364704+CHEMBL2364705,missing,0
5040,CHEMBL14060,"CARBOLIC ACID|CHLORASEPTIC|ENT-1814|NSC-36808|PHENOL|PHENOL, LIQUEFIED|Phenol|S.B. WARD|SALICYLIC ACID RELATED COMPOUND C",4,C05BB05 | N01BX03 | R02AA19 | D08AE03,C05BB - Sclerosing agents for local injection | N01BX - Other local anesthetics | R02AA - Antiseptics | D08AE - Phenol and derivatives,"C05B - ANTIVARICOSE THERAPY | N01B - ANESTHETICS, LOCAL | R02A - THROAT PREPARATIONS | D08A - ANTISEPTICS AND DISINFECTANTS",C05 - VASOPROTECTIVES | N01 - ANESTHETICS | R02 - THROAT PREPARATIONS | D08 - ANTISEPTICS AND DISINFECTANTS,C - CARDIOVASCULAR SYSTEM | N - NERVOUS SYSTEM | R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,Oc1ccccc1,Small molecule,MOL,True,"Disinfectant,Pharmaceutic Aid (preservative)",1.39,1,1.67,1.67,10.02,,94.11,1,1,1,1,7,NEUTRAL,94.11,94.0419,0,0,20.23,0.51,Y,0,CHEMBL14060,Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5048,CHEMBL449,BUTABARBITAL|Butabarbital|SECBUTABARBITAL|SECBUTOBARBITONE,4,,,,,,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Prescription Only,None,None,None,None,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Small molecule,MOL,True,Sedative-Hypnotic,0.79,0,1.19,1.45,7.48,,212.25,3,5,2,2,15,NEUTRAL,212.25,212.1161,0,0,75.27,0.68,N,3,CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5059,CHEMBL471,Betapace|C07AA07|MJ-1999|SOTALOL|Sorine|Sotalol,4,C07AA07,"C07AA - Beta blocking agents, non-selective",C07A - BETA BLOCKING AGENTS,C07 - BETA BLOCKING AGENTS,C - CARDIOVASCULAR SYSTEM,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,True,False,True,Prescription Only,None,None,None,None,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,Small molecule,MOL,True,Anti-Adrenergic (beta-receptor),1.09,1,-2.12,-0.40,10.07,9.43,272.37,4,5,3,3,18,BASE,272.37,272.1195,0,0,78.43,0.72,N,6,CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ZBMZVLHSJCTVON-UHFFFAOYSA-N,ZBMZVLHSJCTVON-UHFFFAOYSA-N,toxic_cardio+toxic_hepa,missing,missing,missing,missing,missing,missing,0
5061,CHEMBL1420,Atnaa|Duodote|PRALIDOXIME|Pralidoxime,4,V03AB04,V03AB - Antidotes,V03A - ALL OTHER THERAPEUTIC PRODUCTS,V03 - ALL OTHER THERAPEUTIC PRODUCTS,V - VARIOUS,1:Synthetic Small Molecule,True,Achiral Molecule,False,True,True,False,False,Prescription Only,None,None,None,None,C[n+]1ccccc1C=NO,Small molecule,MOL,True,Cholinesterase Reactivator,0.32,1,-3.44,-3.26,7.63,,137.16,2,3,1,1,10,NEUTRAL,137.16,137.0709,0,0,36.47,0.26,Y,1,CHEMBL1420,C[n+]1ccccc1C=NO,JBKPUQTUERUYQE-UHFFFAOYSA-O,JBKPUQTUERUYQE-UHFFFAOYSA-O,Safe,missing,missing,missing,missing,missing,missing,0
5064,CHEMBL278172,AEZODENT|ANTHISAN PLUS|AR-01|AR01|Americaine|BENZOCAINE|BURNEZE|Baby Anbesol|CHILDREN'S CHLORASEPTIC|DEQUACAINE|ETHYL AMINOBENZOATE|LANACANE|MEDILAVE|NESTOSYL|NSC-41531|NSC-4688|ORAJEL|TYROSOLVEN|TYROZETS,4,N01BA05 | C05AD03 | D04AB04 | R02AD01,"N01BA - Esters of aminobenzoic acid | C05AD - Local anesthetics | D04AB - Anesthetics for topical use | R02AD - Anesthetics, local","N01B - ANESTHETICS, LOCAL | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | D04A - ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC. | R02A - THROAT PREPARATIONS","N01 - ANESTHETICS | C05 - VASOPROTECTIVES | D04 - ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC. | R02 - THROAT PREPARATIONS",N - NERVOUS SYSTEM | C - CARDIOVASCULAR SYSTEM | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,CCOC(=O)c1ccc(N)cc1,Small molecule,MOL,True,Anesthetic (topical),1.45,1,1.50,1.50,,2.78,165.19,3,3,1,2,12,NEUTRAL,165.19,165.0790,0,0,52.32,0.53,Y,2,CHEMBL278172,CCOC(=O)c1ccc(N)cc1,BLFLLBZGZJTVJG-UHFFFAOYSA-N,BLFLLBZGZJTVJG-UHFFFAOYSA-N,Safe,,True,True,True,,missing,0
5065,CHEMBL565,ATROMID-S|AY-61123|Atromid|CHLORFENISATE|CLOFIBRATE|ICI 28257|ICI-28257|NSC-79389,4,C10AB01,C10AB - Fibrates,"C10A - LIPID MODIFYING AGENTS, PLAIN",C10 - LIPID MODIFYING AGENTS,C - CARDIOVASCULAR SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,True,True,False,False,False,Discontinued,None,None,None,None,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,Small molecule,MOL,True,Antihyperlipidemic,3.06,1,3.40,3.40,,,242.70,3,3,0,0,16,NEUTRAL,242.70,242.0710,0,0,35.53,0.76,N,4,CHEMBL565,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,KNHUKKLJHYUCFP-UHFFFAOYSA-N,KNHUKKLJHYUCFP-UHFFFAOYSA-N,Safe,AGONIST,True,True,True,CHEMBL239,missing,0
5071,CHEMBL264241,ANIDULAFUNGIN|D70013|ECALTA|Eraxis|LY-303366|LY303366|VER-002|VER002,4,J02AX06,J02AX - Other antimycotics for systemic use,J02A - ANTIMYCOTICS FOR SYSTEMIC USE,J02 - ANTIMYCOTICS FOR SYSTEMIC USE,J - ANTIINFECTIVES FOR SYSTEMIC USE,7:Natural Product-derived,False,Single Stereoisomer,False,False,True,False,False,Prescription Only,None,None,None,None,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,Small molecule,MOL,True,,,,,,,,1140.25,,,,,,,1140.25,1139.5063,,,,,,,CHEMBL264241,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2364673,missing,0
5079,CHEMBL1308,4-METHYLPYRAZOLE|4-MP|Antizol|FOMEPIZOLE,4,V03AB34,V03AB - Antidotes,V03A - ALL OTHER THERAPEUTIC PRODUCTS,V03 - ALL OTHER THERAPEUTIC PRODUCTS,V - VARIOUS,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,True,False,False,Prescription Only,None,None,None,None,Cc1cn[nH]c1,Small molecule,MOL,True,Antidote (alcohol dehydrogenase inhibitor),0.72,1,0.79,0.79,,2.63,82.11,1,2,1,1,6,NEUTRAL,82.11,82.0531,0,0,28.68,0.49,Y,0,CHEMBL1308,Cc1cn[nH]c1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,RIKMMFOAQPJVMX-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2363044,missing,0
5086,CHEMBL406,CARDIDE SR|ETHIBIDE XL|INDAPAMIDE|INDAXA 2.5|INDIPAM XL|KYD-041|Lozol|MAPEMID XL|NATRILIX|NATRILIX SR|NINDAXA 2.5|OPUMIDE 2.5|RAWEL XL|S-1520|SE-1520|TENSAID XL|VARBIM XL,4,C03BA11,"C03BA - Sulfonamides, plain","C03B - LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03 - DIURETICS,C - CARDIOVASCULAR SYSTEM,1:Synthetic Small Molecule,True,Racemic Mixture,False,True,False,False,False,Prescription Only,None,None,None,None,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,Small molecule,MOL,True,Antihypertensive; Diuretic,2.08,2,2.63,2.64,8.85,0.10,365.84,4,6,2,3,24,NEUTRAL,365.84,365.0601,0,0,92.50,0.87,N,3,CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,NDDAHWYSQHTHNT-UHFFFAOYSA-N,NDDAHWYSQHTHNT-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL1876,missing,0
5087,CHEMBL125,D-18506|HDPC|IMPAVIDO|MILTEFOSINE|Miltefosine|Miltex|NSC-605583,4,P01CX04,P01CX - Other agents against leishmaniasis and trypanosomiasis,P01C - AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01 - ANTIPROTOZOALS,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1:Synthetic Small Molecule,False,Racemic Mixture,False,True,False,False,True,Prescription Only,None,None,None,None,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Small molecule,MOL,True,,5.68,0,4.27,2.25,1.88,,407.58,4,5,0,0,27,ACID,407.58,407.3164,1,1,58.59,0.15,N,20,CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,PQLXHQMOHUQAKB-UHFFFAOYSA-N,PQLXHQMOHUQAKB-UHFFFAOYSA-N,toxic_teratogen,,True,True,True,,missing,0
5095,CHEMBL1655,GTX-006|J33.157K|TOREMIFENE|Toremifene,4,L02BA02,L02BA - Anti-estrogens,L02B - HORMONE ANTAGONISTS AND RELATED AGENTS,L02 - ENDOCRINE THERAPY,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1:Synthetic Small Molecule,False,Achiral Molecule,True,True,False,False,True,Prescription Only,None,None,None,None,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,Small molecule,MOL,True,Anti-Estrogen; Antineoplastic,6.22,3,4.89,6.27,,8.76,405.97,2,2,0,0,29,BASE,405.97,405.1859,1,1,12.47,0.31,N,9,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,XFCLJVABOIYOMF-QPLCGJKRSA-N,XFCLJVABOIYOMF-QPLCGJKRSA-N,toxic_cardio,missing,missing,missing,missing,missing,missing,0
5098,CHEMBL1682,"7B5697N|D-SORBITOL|E 420|E420|FEMA NO. 3029|ISOMALT IMPURITY, SORBITOL-|NSC-25944|SORBITOL|Sorbitol",4,V04CC01 | A06AD18 | A06AG07 | B05CX02,V04CC - Tests for bile duct patency | A06AD - Osmotically acting laxatives | A06AG - Enemas | B05CX - Other irrigating solutions,V04C - OTHER DIAGNOSTIC AGENTS | A06A - DRUGS FOR CONSTIPATION | A06A - DRUGS FOR CONSTIPATION | B05C - IRRIGATING SOLUTIONS,V04 - DIAGNOSTIC AGENTS | A06 - DRUGS FOR CONSTIPATION | A06 - DRUGS FOR CONSTIPATION | B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,V - VARIOUS | A - ALIMENTARY TRACT AND METABOLISM | A - ALIMENTARY TRACT AND METABOLISM | B - BLOOD AND BLOOD FORMING ORGANS,1:Synthetic Small Molecule,False,Single Stereoisomer,False,False,False,False,False,Prescription Only,None,None,None,None,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Small molecule,MOL,False,Pharmaceutic Aid (flavor); Pharmaceutic Aid (tablet excipient),-3.59,0,-3.73,-3.73,12.59,,182.17,6,6,6,6,12,NEUTRAL,182.17,182.0790,1,1,121.38,0.26,N,5,CHEMBL1682,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-JGWLITMVSA-N,FBPFZTCFMRRESA-JGWLITMVSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5100,CHEMBL2159122,ELUXADOLINE|JNJ-27018966|TRUBERZI|VIBERZI,4,A07DA06,A07DA - Antipropulsives,A07D - ANTIPROPULSIVES,"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,False,Single Stereoisomer,False,True,False,False,False,Prescription Only,None,None,None,None,COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,Small molecule,MOL,True,,4.16,4,1.75,1.80,3.66,7.99,569.66,6,10,4,6,42,ACID,569.66,569.2638,2,1,164.63,0.21,N,11,CHEMBL2159122,COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,QFNHIDANIVGXPE-FNZWTVRRSA-N,QFNHIDANIVGXPE-FNZWTVRRSA-N,Safe,AGONIST,True,True,True,CHEMBL233,missing,0
5103,CHEMBL146095,GLAFENINE|GLAPHENINE|GLYCERYLAMINOPHENAQUINE|R 1707,4,N02BG03,N02BG - Other analgesics and antipyretics,N02B - OTHER ANALGESICS AND ANTIPYRETICS,N02 - ANALGESICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Racemic Mixture,False,False,False,False,False,Withdrawn,1984,Anaphylaxis,Germany; France,Immune system toxicity,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,Small molecule,MOL,False,,3.14,3,4.12,4.16,13.62,6.41,372.81,6,6,3,3,26,NEUTRAL,372.81,372.0877,0,0,91.68,0.58,N,6,CHEMBL146095,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,GWOFUCIGLDBNKM-UHFFFAOYSA-N,GWOFUCIGLDBNKM-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2094253,missing,1
5106,CHEMBL1200694,MR-6S4|MR6S4|SEVOFLURANE|SOJOURN|Ultane,4,N01AB08,N01AB - Halogenated hydrocarbons,"N01A - ANESTHETICS, GENERAL",N01 - ANESTHETICS,N - NERVOUS SYSTEM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,True,False,Prescription Only,None,None,None,None,FCOC(C(F)(F)F)C(F)(F)F,Small molecule,MOL,True,Anesthetic (inhalation),2.42,0,2.27,2.27,,,200.05,1,1,0,0,12,NEUTRAL,200.05,200.0072,0,0,9.23,0.62,Y,2,CHEMBL1200694,FCOC(C(F)(F)F)C(F)(F)F,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,Safe,POSITIVE MODULATOR+POSITIVE ALLOSTERIC MODULATOR+OPENER+OPENER+OPENER+OPENER+OPENER,True+True+True+True+True+True+True,True+True+True+True+True+True+True,True+True+True+True+True+True+True,CHEMBL2363052+CHEMBL2093872+CHEMBL2331041+CHEMBL2331042+CHEMBL2321613+CHEMBL2321614+CHEMBL2321615,missing,0
5123,CHEMBL376488,BEDAQUILINE|R-207910|R207910|SIRTURO|TMC-207|TMC207,4,J04AK05,J04AK - Other drugs for treatment of tuberculosis,J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS,J04 - ANTIMYCOBACTERIALS,J - ANTIINFECTIVES FOR SYSTEMIC USE,1:Synthetic Small Molecule,False,Single Stereoisomer,False,True,False,False,True,Prescription Only,None,None,None,None,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,Small molecule,MOL,True,,7.13,5,5.61,7.13,13.61,8.91,555.52,4,4,1,1,37,BASE,555.52,554.1569,2,2,45.59,0.22,N,8,CHEMBL376488,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,QUIJNHUBAXPXFS-XLJNKUFUSA-N,QUIJNHUBAXPXFS-XLJNKUFUSA-N,Safe,missing,missing,missing,missing,missing,missing,0
5124,CHEMBL9967,GASTRI P|GASTROZEPIN|PIRENZEPINE,4,A02BX03,A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02 - DRUGS FOR ACID RELATED DISORDERS,A - ALIMENTARY TRACT AND METABOLISM,1:Synthetic Small Molecule,True,Achiral Molecule,False,False,False,False,False,Unknown,None,None,None,None,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Small molecule,MOL,True,Anti-Ulcerative,1.56,2,0.76,0.97,,7.20,351.41,5,7,1,1,26,NEUTRAL,351.41,351.1695,0,0,68.78,0.89,N,2,CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,RMHMFHUVIITRHF-UHFFFAOYSA-N,RMHMFHUVIITRHF-UHFFFAOYSA-N,Safe,ANTAGONIST,True,True,True,CHEMBL216,missing,0
